glottocode,langname,longitude,latitude,ocean_distance
area1240,'Are'are,161.158,-9.20699,9511.38222770106
abua1244,Abua,6.61492,4.83057,20617.4485389434
adny1235,Adnyamathanha,138.671,-30.1451,283364.839671567
adyg1241,Adyghe,39.33,44,8541.75840240417
afri1274,Afrikaans,30,-22,491349.339530478
agus1235,Agusan Manobo,125.742,8.62731,43842.5977663918
ahte1237,Ahtena,215.111,61.7068,99405.3126305252
akan1250,Akan,-1.33254,6.34756,132886.222964678
akaw1239,Akawaio-Ingariko,299.138,6.16277,243276.862832439
akha1245,Akha,100.964,21.2309,537420.017930751
akka1240,Akkadian,44.1,33.1,503196.058335953
alab1237,Alabama,265.37152000000003,30.76738,113651.323013951
aleu1260,Aleut,185.71,52.1228,3194.97881262081
amha1245,Amharic,39.543456,11.708182,324714.641164655
anci1244,Ancient Hebrew,35.1725,31.7761,48433.0754639667
anda1287,Andalusian Arabic,-5.2,36.54,12916.2789033865
anei1239,Aneityum,169.825,-20.1864,4548.6115257993
angg1239,Angguruk Yali,139.457,-4.0836,196463.217128487
anuf1239,Anufo,0.56021,10.2839,466889.086901998
aona1235,Ao Naga,94.3824,26.3241,481980.360532629
arap1274,Arapaho,251.19,43.3879,1144870.86416032
arik1262,Arikara,260,45,1416501.12289293
arom1237,Aromanian,21.2,40.616,121506.841271142
aros1241,Arosi,161.432,-10.2441,2231.17751624105
arta1239,Arta,121.656,16.4185,40393.2346454451
assa1263,Assamese,91.2932,26.0876,286147.503929903
assy1241,Assyrian Neo-Aramaic,43,36.75,523993.881481897
ataa1240,Ata,122.9,9.715,28030.3383945123
atak1252,Atakapa,266.9173,30.9121,124318.533885294
atay1247,Atayal,121.388,24.5209,41783.9523824168
aves1237,Avestan,62.112,34.217,788553.995032093
awap1236,Awa,145.714,-6.65534,132321.38091822
baba1267,Baba Malay,103.076,1.75414,5652.39966099692
bada1257,Badaga,76.5974,11.3094,86758.2549255316
bafa1249,Bafanji,10.4518,5.84612,214992.386160456
bali1278,Balinese,115.075,-8.35714,20503.3853964594
bamb1269,Bambara,-7.65,12.9,736532.109938637
bant1281,Bantawa,87.04738,27.12147,520567.512690365
bara1370,Baram Kayan,114.482,3.51211,100122.129737774
bard1255,Bardi,122.906,-16.6274,9098.79663768015
nucl1418,Bassa,-11.543,7.27501,29237.2492394948
bata1298,Batad Ifugao,121.23,16.8266,88534.7311997144
bayu1240,Bayungu,114.108,-23.3809,35464.268805778
beij1234,Beijing Mandarin,116.1172766,39.9385466,168635.931635569
beja1238,Beja,36.6666,17.2436,191157.253902904
bela1256,Belanda Bor,27.8232,6.6503,1609422.95633366
bela1254,Belarusian,25.6038,53.2307,344654.680744371
bell1243,Bella Coola,233.311,52.3448,16888.0739362068
bemb1257,Bemba,29.2993,-10.6122,1123201.79952637
beng1286,Beng,-4.23539,7.78122,275096.297336735
beng1280,Bengali,90,24,66419.5004887751
bero1242,Berom,8.81221,9.67037,531368.888770008
besi1244,Besisi,101.676,2.717,10156.4289736483
biat1246,Biatah Bidayuh,110.254,1.17596,57691.3298206258
bini1246,Bini,5.70426,6.40701,88242.1978571762
bisl1239,Bislama,166.89,-15.4,20416.416451228
bang1354,Bobangi,17.227,-0.87437,721740.612531466
bodo1269,Bodo-Mech,92,26.1,312487.921527838
boko1266,Boko,3.71771,10.5189,435990.525974357
boko1267,Bokobaru,3.80058,9.52724,325852.731070298
chim1302,Bolivar-North Chimborazo Highland Quichua,281.1479,-1.36727,134791.304044503
bond1245,Bondo,83.8141,19.1512,84958.1239067739
bong1285,Bongo,27.9918,7.4145,1544189.96041762
bora1271,Borana-Arsi-Guji Oromo,37.882,1.05676,478680.786074463
bord1248,Border Kuna,282.8336,7.92993,27053.215573588
braz1246,Brazilian Portuguese,-8.1,39.91,66869.9559413201
bret1244,Breton,-3.78934,48.2452,34081.8997686182
bugh1239,Bughotu,159.802,-8.47948,2719.52568386248
bulg1262,Bulgarian,25.047,43.3646,222128.552580402
buli1254,Buli,-1.26748,10.5763,561576.129840834
nucl1310,Burmese,93.9665,20.7926,101569.078741098
busa1253,Busa,4.39929,9.91074,375937.835915057
cahu1264,Cahuilla,243.309,33.5324,74992.6618044872
caju1236,Cajun French,268.3867,29.6869,1113.74505035314
calo1236,Caló,0.6,41.424,54127.923067566
cari1275,Caribbean Hindustani,304.666832,5.722918,26042.4456966064
caro1242,Carolinian,145.765,15.205,2265.32531654237
casi1235,Casiguran-Nagtipunan Agta,121.878,16.2176,10290.3706513774
cayu1262,Cayubaba,294.51779999999997,-13.2482,774529.03059931
cebu1242,Cebuano,124.367,8.38799,8657.93452417594
cent2292,Central Bontoc,120.92,17.08,53143.3854714579
carr1249,Central Carrier,235.672,54.3768,245666.214097247
sout2789,Central Dagaare,-2.52265,10.4226,568458.512440283
cent2050,Central Kanuri,13.13,11.8,929166.208984057
cent1989,Central Khmer,105.015,12.0515,184826.131464015
cent1972,Central Kurdish,45.8077,35.6539,367901.969799867
mala1479,Central Malay,103,1.85856,11901.582192474
cent1990,Central Nicobarese,93.3921,7.94812,3545.39492462028
cent2128,Central Siberian Yupik,189.728,63.4308,11816.6394762049
cent2131,Central Tarahumara,252.846,27.5648,239395.08558009
chad1249,Chadian Arabic,13.5,14.67,1226430.91862258
cham1312,Chamorro,144.74474,13.438011,4835.24326737298
chan1313,Chang Naga,94.9536,26.4336,528068.4764338
chan1310,Chantyal,83.4488,28.684,833720.566977933
chek1238,Cheke Holo,159.625,-8.27055,9095.26295728253
chep1245,Chepang,84.9017,27.7206,668623.616058183
cher1273,Cherokee,276.837,35.4664,400017.310999254
chey1247,Cheyenne,253.341,45.5321,1216070.1676245
chip1241,Chippewa,265.7262,47.347,1043155.8776032
choc1276,Choctaw,271.5,32.25,179097.780472078
cung1238,Chung,10.4104,6.59687,280853.358232372
chuu1238,Chuukese,151.598607,7.346993,989.541171989704
clas1250,Classical Nahuatl,263.03,19.72,53052.95372427
clas1252,Classical Syriac,42.1432,37.1129,457601.473073822
coas1301,Coast Miwok,237.006,38.3285,4570.95515393596
cent2087,Coastal-Naga Bikol,123.403,13.7574,14424.6430372475
coma1245,Comanche,259,34,719225.98335561
corn1251,Cornish,-4.18619,50.5233,14466.3882226848
cree1270,Creek,272.5,31,59371.2745871208
czec1258,Czech,15.10437,49.873398,420284.74682444
port1286,Daakie,168.046,-16.3083,1312.96431595475
dagb1246,Dagbani,-0.43227,9.64745,433921.766002662
daka1243,Dakaka,168.013,-16.2696,3664.96242485887
dako1258,Dakota,263.42,45.86,1257223.44207116
dani1285,Danish,9.36284,54.8655,20204.7140873392
dehu1237,Dehu,167.229,-20.8892,6700.60626411384
tana1289,Dena'ina,209.241,60.4712,30351.2818215729
devo1240,Devon,-1,53,70847.8290577413
dhal1245,Dhalandji,114.937,-22.196,43695.4169986341
dhar1247,Dhargari,114.847,-24.0601,131817.514207264
didi1258,Didinga,33.6869,4.21489,1056194.85174347
dima1251,Dimasa,93.1806,25.4198,330478.517383961
diri1252,Diriku-Shambyu,20.6678,-18.1681,798975.35954211
djin1253,Djinang,134.82,-12.462,37037.736173958
djiw1241,Djiwarli,116.98858,-24.10724,330535.924284987
doro1266,Doromu-Koki,147.986,-9.56687,58825.8786202932
dutc1256,Dutch,5,52,47825.6937447524
dzon1239,Dzongkha,89.581604,27.410786,436913.982423893
east2387,East Limba,-11.7496,9.71107,170811.194293697
huaa1248,East Taa,20.79583,-24.20022,609386.18582991
tang1336,East-Central Tangkhul Naga,94.3567,25.0489,378574.209968344
nucl1235,Eastern Armenian,45,40,335987.826441024
east2304,Eastern Balochi,62,28,309213.665241681
east2534,Eastern Canadian Inuktitut,284.3861,62.1735,6078.89644134773
east2542,Eastern Ojibwa,280.2497,45.0112,396275.02977035
panj1256,Eastern Panjabi,75.6702,30.0368,913384.824260545
east2295,Eastern Yiddish,19.42,51.75,290504.241841477
efik1245,Efik,8.38121,4.89379,8352.41498127484
